transaction_id,customer_id,transaction_date,product_category,product_name,quantity,price_per_unit,total_amount,payment_method,store_location
17c7b94b-765f-4f0b-9926-0b74ca1306c4,e59c01c7-d860-4251-a3c2-c5f718a8600f,2025-01-03 12:56:38,Home Goods,Tend Darkviolet,9,324.82,2923.38,Cash,Turnershire
234fde28-f605-4314-99f2-1479d772b1a7,8dfd3a28-8791-437e-af87-db597c46771a,2025-01-03 06:02:28,Home Goods,Executive Slateblue,1,265.9,265.9,Debit Card,New David
c0e3814e-6fdb-4a41-a5cf-90ee0ee867f2,d2ee0215-e420-4950-b460-d08e4d4a153b,2025-01-03 11:46:29,Books,Compare Palevioletred,2,431.95,863.9,Cash,West Larry
7a32f2ca-7752-4e77-98be-d1fb46d93cc8,220652c0-7642-4bf4-8d9f-f8bb1df6fec1,2025-01-03 05:22:07,Books,Oil Khaki,8,99.33,794.64,Debit Card,West Dawnborough
81e71463-68c6-49c3-9e5a-41ae09e722e7,c7b81579-1a3e-4874-bc93-e4265d00bb98,2025-01-02 09:04:38,Health & Beauty,Charge Mediumorchid,1,14.42,14.42,Credit Card,South Jamesside
01d2ba56-fddd-4053-8ae5-30578aaf5054,a2960ac4-849f-449f-843c-5fa59a3bc495,2025-01-04 10:23:59,Health & Beauty,Story Lightsteelblue,1,229.96,229.96,Cash,East Julianbury
9d1041d6-494f-4841-916d-ff090ca05fc6,9897ba97-5766-43c3-8e96-6364c9b21e03,2025-01-02 09:03:32,Electronics,Old Sandybrown,4,348.82,1395.28,Credit Card,East Donaldview
f4c402bd-b84f-42f4-968f-0beddaa82b2c,3a1c47fe-7e57-441d-9c26-b7e608ff434e,2025-01-02 22:54:38,Electronics,Sit Powderblue,9,350.19,3151.71,Credit Card,Chadberg
e00504c4-54ce-4de8-a01e-9ea1f73b701b,d3746c77-6c73-4cbc-aa1e-baa1a7945e93,2025-01-03 18:03:14,Electronics,Early Orchid,4,15.31,61.24,Debit Card,West Meghan
04fa9ec4-ae73-4e5b-b00f-2e815bb15f97,c733772d-ee4c-425c-bbd7-8af5844648c5,2025-01-01 21:37:18,Food,Down Plum,7,90.45,633.15,Bank Transfer,New Ashleefurt
1d4a0620-08b4-4bd6-889d-1f3a89d73993,6373e542-8b5e-4800-a22e-e557e656d856,2025-01-03 01:21:33,Books,Job Darkturquoise,5,215.73,1078.65,Debit Card,Port Ronnie
1dcfe382-e0c2-484f-a416-61ab945a88a1,1f02ade6-36ee-4fce-ac55-eeb8ea045c45,2025-01-02 04:46:19,Books,Arm Blanchedalmond,1,469.26,469.26,Debit Card,Heatherfurt
2ae57ce3-aa97-498a-828e-5a9d4d637222,0fefd8db-5cb4-4cd3-8727-9df3db5fbcc3,2025-01-01 22:43:16,Home Goods,Strong Gray,8,214.77,1718.16,E-Wallet,South Karlaview
2bf83e54-6e65-4a84-93a2-ab631e124997,00916fcb-e8cd-4eb4-82c1-b9bb643ca8c1,2025-01-03 19:21:29,Home Goods,Economic Blanchedalmond,2,267.94,535.88,E-Wallet,North Sarah
d525af61-f30f-4515-8ded-5fd563514bfb,6879b68b-7b8c-48b3-841e-7b0eca0fd030,2025-01-03 13:44:02,Health & Beauty,Appear Whitesmoke,9,328.68,2958.12,E-Wallet,North Johnchester
93c9ec8c-93eb-45ee-8a32-fcf8a7a411a1,25603796-3a54-4a83-affb-d50a2c2ad28c,2025-01-03 00:35:08,Food,Consumer Papayawhip,4,443.37,1773.48,E-Wallet,North Anna
2041ad79-4cb4-4c48-9b03-d092c6c6d1a6,ce7e609b-a7f6-4f5b-95f9-846f792d7fd1,2025-01-04 18:07:46,Books,Edge Khaki,5,40.62,203.1,Bank Transfer,Simmonstown
3c73d1e1-b2f2-467c-b1d3-dd3c245031e8,1eada6a4-c1f8-46b2-9c76-f97531a91839,2025-01-03 15:04:17,Health & Beauty,Give Darkolivegreen,10,354.15,3541.5,Bank Transfer,Port Philipchester
8488403a-2aff-41c1-bce7-68848e865a66,9957f143-c9dd-4dcb-bdc5-0ca04ec0d0cb,2025-01-05 10:14:52,Electronics,Piece Snow,5,394.0,1970.0,Cash,Jacquelinefurt
9efa56a5-1a7e-46c8-87c3-6798aacf49ec,f12de62c-70b1-47b6-b7cc-b6796f44ce9e,2025-01-03 06:21:39,Books,Use Crimson,7,411.42,2879.94,Credit Card,West Ashleymouth
62e9e096-56f6-4aeb-a85b-2de55b671114,03b66361-c9bd-4692-8000-d59d8b2198b9,2025-01-01 18:03:09,Toys,Actually Antiquewhite,6,366.76,2200.56,Cash,North Amy
6593237d-8cce-4673-abc4-0b66f098d9c7,0ee0dcf1-a224-4bb5-b30a-99d87d4c651b,2025-01-02 23:41:54,Home Goods,Read Lightseagreen,6,315.33,1891.98,Cash,South Nicholas
06f6d6a4-c144-4e8b-b79e-8393610e74c6,8401f163-f1a8-41b5-af94-8930254e6cb9,2025-01-02 15:26:45,Toys,Key Skyblue,4,254.88,1019.52,Bank Transfer,Willisshire
d2c88f35-c76d-41b3-a59e-05baad9c15c1,b038fd16-30f8-4400-a85f-a39340352c97,2025-01-03 12:56:41,Toys,Natural Forestgreen,10,284.87,2848.7,Credit Card,North Timothyfurt
7cc65ad9-ec3c-4a61-8744-13c7692f0770,e3d03a19-5110-42c0-8305-73ae6101be51,2025-01-01 08:58:19,Clothing,Win Paleturquoise,1,411.14,411.14,Credit Card,West Joshuafort
2971b34e-df76-4e99-98e7-768fc53c21b1,3df781b3-b418-4775-9ff4-049314b0db67,2025-01-04 00:48:57,Home Goods,Dinner Ghostwhite,9,92.37,831.33,Credit Card,Cookmouth
d138ac28-06cf-49f9-9dd2-5e0ff2c32210,ee1752ea-6882-4cb4-bb99-b48a42920e1d,2025-01-05 11:58:15,Health & Beauty,Enjoy Aquamarine,6,66.2,397.2,Debit Card,Taylorborough
6c34ea4a-91c8-41e3-8306-97fd2c5ac50e,96834396-5ac1-49bb-9510-6daf72927997,2025-01-02 06:54:25,Books,Summer Lightgreen,10,132.31,1323.1,Bank Transfer,Jenniferland
